2023-02-11 23:38:59,861,SubscriberAppln::driver
2023-02-11 23:38:59,862,**********************************
2023-02-11 23:38:59,862,SubscriberAppln::dump
2023-02-11 23:38:59,862,------------------------------
2023-02-11 23:38:59,862,     Name: sub2
2023-02-11 23:38:59,862,     Lookup: Centralized
2023-02-11 23:38:59,862,     Num Topics: 5
2023-02-11 23:38:59,862,     TopicList: ['light', 'temperature', 'weather', 'pressure', 'airquality']
2023-02-11 23:38:59,862,     Iterations: 1000
2023-02-11 23:38:59,862,     Frequency: 1
2023-02-11 23:38:59,862,**********************************
2023-02-11 23:38:59,862,SubscriberMW::event_loop - run the event loop
2023-02-11 23:38:59,864,SubscriberAppln::invoke_operation
2023-02-11 23:38:59,864,SubscriberMW::register
2023-02-11 23:38:59,865,SubscriberMW::register - sent register message and now now wait for reply
2023-02-11 23:38:59,919,SubscriberMW::handle_reply
2023-02-11 23:38:59,919,SubscriberAppln::register_response
2023-02-11 23:38:59,919,SubscriberAppln::invoke_operation
2023-02-11 23:38:59,919,SubscriberMW::is_ready
2023-02-11 23:38:59,919,SubscriberMW::is_ready - request sent and now wait for reply
2023-02-11 23:38:59,921,SubscriberMW::handle_reply
2023-02-11 23:38:59,921,SubscriberAppln::isready_response
2023-02-11 23:39:09,930,SubscriberAppln::invoke_operation
2023-02-11 23:39:09,930,SubscriberMW::is_ready
2023-02-11 23:39:09,931,SubscriberMW::is_ready - request sent and now wait for reply
2023-02-11 23:39:09,931,SubscriberMW::handle_reply
2023-02-11 23:39:09,931,SubscriberAppln::isready_response
2023-02-11 23:39:09,931,SubscriberAppln::invoke_operation
2023-02-11 23:39:09,931,SubscriberMW::lookup_publishers
2023-02-11 23:39:09,932,SubscriberMW::lookup_publishers - request sent and now wait for reply
2023-02-11 23:39:09,933,SubscriberMW::handle_reply
2023-02-11 23:39:09,933,SubscriberAppln::lookup_response
2023-02-11 23:39:09,933,SubscriberAppln::invoke_operation
2023-02-11 23:41:30,989,weather,icy
2023-02-11 23:41:30,989,light,1600
2023-02-11 23:41:30,990,temperature,11
2023-02-11 23:41:31,937,airquality,poor
2023-02-11 23:41:31,987,airquality,poor
2023-02-11 23:41:31,988,light,1600
2023-02-11 23:41:31,990,weather,icy
2023-02-11 23:41:31,991,light,450
2023-02-11 23:41:31,991,temperature,35
2023-02-11 23:41:32,939,airquality,smog
2023-02-11 23:41:32,988,airquality,poor
2023-02-11 23:41:32,989,light,1100
2023-02-11 23:41:32,992,weather,rainy
2023-02-11 23:41:32,992,light,450
2023-02-11 23:41:32,993,temperature,29
2023-02-11 23:41:33,940,airquality,poor
2023-02-11 23:41:33,990,airquality,smog
2023-02-11 23:41:33,991,light,1600
2023-02-11 23:41:33,993,weather,rainy
2023-02-11 23:41:33,994,light,1600
2023-02-11 23:41:33,994,temperature,19
2023-02-11 23:41:34,941,airquality,smog
2023-02-11 23:41:34,992,airquality,smog
2023-02-11 23:41:34,993,light,1600
2023-02-11 23:41:34,995,weather,icy
2023-02-11 23:41:34,995,light,450
2023-02-11 23:41:34,995,temperature,-50
2023-02-11 23:41:35,943,airquality,smog
2023-02-11 23:41:35,994,airquality,good
2023-02-11 23:41:35,994,light,800
2023-02-11 23:41:35,997,weather,icy
2023-02-11 23:41:35,997,light,1100
2023-02-11 23:41:35,998,temperature,-91
2023-02-11 23:41:36,944,airquality,good
2023-02-11 23:41:36,996,airquality,good
2023-02-11 23:41:36,996,light,800
2023-02-11 23:41:36,998,weather,cloudy
2023-02-11 23:41:36,999,light,1600
2023-02-11 23:41:36,999,temperature,-89
2023-02-11 23:41:37,945,airquality,good
2023-02-11 23:41:37,997,airquality,good
2023-02-11 23:41:37,998,light,450
2023-02-11 23:41:38,000,weather,sunny
2023-02-11 23:41:38,000,light,1100
2023-02-11 23:41:38,001,temperature,-31
2023-02-11 23:41:38,947,airquality,good
2023-02-11 23:41:38,999,airquality,smog
2023-02-11 23:41:39,000,light,450
2023-02-11 23:41:39,001,weather,icy
2023-02-11 23:41:39,002,light,450
2023-02-11 23:41:39,004,temperature,17
2023-02-11 23:41:39,948,airquality,good
2023-02-11 23:41:40,001,airquality,smog
2023-02-11 23:41:40,001,light,450
2023-02-11 23:41:40,006,weather,rainy
2023-02-11 23:41:40,007,light,1100
2023-02-11 23:41:40,008,temperature,87
2023-02-11 23:41:40,950,airquality,poor
2023-02-11 23:41:41,003,airquality,smog
2023-02-11 23:41:41,003,light,1600
2023-02-11 23:41:41,005,weather,icy
2023-02-11 23:41:41,006,light,1100
2023-02-11 23:41:41,007,temperature,29
2023-02-11 23:41:41,951,airquality,smog
2023-02-11 23:41:42,004,airquality,smog
2023-02-11 23:41:42,005,light,1100
2023-02-11 23:41:42,006,weather,rainy
2023-02-11 23:41:42,007,light,1600
2023-02-11 23:41:42,007,temperature,53
2023-02-11 23:41:42,951,airquality,poor
2023-02-11 23:41:43,006,airquality,good
2023-02-11 23:41:43,006,light,450
2023-02-11 23:41:43,008,weather,sunny
2023-02-11 23:41:43,009,light,1600
2023-02-11 23:41:43,009,temperature,-86
2023-02-11 23:41:43,953,airquality,smog
2023-02-11 23:41:44,008,airquality,poor
2023-02-11 23:41:44,008,light,800
2023-02-11 23:41:44,010,weather,foggy
2023-02-11 23:41:44,010,light,450
2023-02-11 23:41:44,010,temperature,-9
2023-02-11 23:41:44,955,airquality,smog
2023-02-11 23:41:45,010,airquality,good
2023-02-11 23:41:45,010,light,800
2023-02-11 23:41:45,011,weather,foggy
2023-02-11 23:41:45,012,light,450
2023-02-11 23:41:45,013,temperature,-78
2023-02-11 23:41:45,957,airquality,poor
2023-02-11 23:41:46,011,airquality,smog
2023-02-11 23:41:46,012,light,450
2023-02-11 23:41:46,013,weather,sunny
2023-02-11 23:41:46,014,light,1600
2023-02-11 23:41:46,015,temperature,-86
2023-02-11 23:41:46,958,airquality,poor
2023-02-11 23:41:47,012,airquality,good
2023-02-11 23:41:47,013,light,800
2023-02-11 23:41:47,015,weather,sunny
2023-02-11 23:41:47,015,light,1600
2023-02-11 23:41:47,016,temperature,-38
2023-02-11 23:41:47,959,airquality,smog
2023-02-11 23:41:48,014,airquality,smog
2023-02-11 23:41:48,014,light,1100
2023-02-11 23:41:48,017,weather,icy
2023-02-11 23:41:48,017,light,1600
2023-02-11 23:41:48,017,temperature,6
2023-02-11 23:41:48,960,airquality,poor
2023-02-11 23:41:49,015,airquality,poor
2023-02-11 23:41:49,016,light,450
2023-02-11 23:41:49,018,weather,icy
2023-02-11 23:41:49,019,light,450
2023-02-11 23:41:49,019,temperature,31
2023-02-11 23:41:49,962,airquality,poor
2023-02-11 23:41:50,018,airquality,smog
2023-02-11 23:41:50,018,light,1600
2023-02-11 23:41:50,019,weather,rainy
2023-02-11 23:41:50,019,light,1100
2023-02-11 23:41:50,020,temperature,-3
2023-02-11 23:41:50,962,airquality,smog
2023-02-11 23:41:51,020,airquality,poor
2023-02-11 23:41:51,020,light,800
2023-02-11 23:41:51,021,weather,cloudy
2023-02-11 23:41:51,022,light,1600
2023-02-11 23:41:51,023,temperature,44
2023-02-11 23:41:51,964,airquality,poor
2023-02-11 23:41:52,022,airquality,good
2023-02-11 23:41:52,022,light,800
2023-02-11 23:41:52,023,weather,foggy
2023-02-11 23:41:52,024,light,1600
2023-02-11 23:41:52,025,temperature,-71
2023-02-11 23:41:52,966,airquality,poor
2023-02-11 23:41:53,024,airquality,good
2023-02-11 23:41:53,025,light,800
2023-02-11 23:41:53,026,weather,cloudy
2023-02-11 23:41:53,026,light,1600
2023-02-11 23:41:53,028,temperature,-33
2023-02-11 23:41:53,967,airquality,poor
2023-02-11 23:41:54,028,weather,cloudy
2023-02-11 23:41:54,028,light,1600
2023-02-11 23:41:54,029,temperature,48
2023-02-11 23:41:54,031,airquality,poor
2023-02-11 23:41:54,032,light,800
2023-02-11 23:41:54,969,airquality,smog
2023-02-11 23:41:55,029,weather,cloudy
2023-02-11 23:41:55,030,light,1600
2023-02-11 23:41:55,030,temperature,-99
2023-02-11 23:41:55,033,airquality,smog
2023-02-11 23:41:55,034,light,1100
2023-02-11 23:41:55,975,airquality,good
2023-02-11 23:41:56,031,weather,foggy
2023-02-11 23:41:56,032,light,1600
2023-02-11 23:41:56,032,temperature,-53
2023-02-11 23:41:56,035,airquality,poor
2023-02-11 23:41:56,036,light,450
2023-02-11 23:41:56,972,airquality,smog
2023-02-11 23:41:57,033,weather,foggy
2023-02-11 23:41:57,034,light,800
2023-02-11 23:41:57,034,temperature,37
2023-02-11 23:41:57,036,airquality,good
2023-02-11 23:41:57,037,light,450
2023-02-11 23:41:57,974,airquality,smog
2023-02-11 23:41:58,035,weather,rainy
2023-02-11 23:41:58,035,light,1600
2023-02-11 23:41:58,036,temperature,32
2023-02-11 23:41:58,038,airquality,poor
2023-02-11 23:41:58,039,light,1600
2023-02-11 23:41:58,975,airquality,poor
2023-02-11 23:41:59,037,weather,rainy
2023-02-11 23:41:59,037,light,1600
2023-02-11 23:41:59,038,temperature,17
2023-02-11 23:41:59,040,airquality,poor
2023-02-11 23:41:59,041,light,1100
2023-02-11 23:41:59,977,airquality,poor
2023-02-11 23:42:00,039,weather,rainy
2023-02-11 23:42:00,040,light,1600
2023-02-11 23:42:00,040,temperature,-5
2023-02-11 23:42:00,043,airquality,poor
2023-02-11 23:42:00,044,light,1100
2023-02-11 23:42:00,978,airquality,poor
2023-02-11 23:42:01,041,weather,cloudy
2023-02-11 23:42:01,041,light,1100
2023-02-11 23:42:01,042,temperature,-28
2023-02-11 23:42:01,044,airquality,poor
2023-02-11 23:42:01,045,light,1600
2023-02-11 23:42:01,979,airquality,smog
2023-02-11 23:42:02,043,weather,icy
2023-02-11 23:42:02,043,light,1100
2023-02-11 23:42:02,044,temperature,60
2023-02-11 23:42:02,046,airquality,poor
2023-02-11 23:42:02,047,light,450
2023-02-11 23:42:02,980,airquality,smog
2023-02-11 23:42:03,045,weather,sunny
2023-02-11 23:42:03,045,light,1100
2023-02-11 23:42:03,046,temperature,99
2023-02-11 23:42:03,048,airquality,good
2023-02-11 23:42:03,049,light,800
2023-02-11 23:42:03,981,airquality,smog
2023-02-11 23:42:04,047,weather,icy
2023-02-11 23:42:04,047,light,800
2023-02-11 23:42:04,047,temperature,89
2023-02-11 23:42:04,050,airquality,poor
2023-02-11 23:42:04,051,light,1100
2023-02-11 23:42:04,983,airquality,smog
2023-02-11 23:42:05,047,weather,rainy
2023-02-11 23:42:05,048,light,1100
2023-02-11 23:42:05,048,temperature,-60
2023-02-11 23:42:05,052,airquality,smog
2023-02-11 23:42:05,055,light,450
2023-02-11 23:42:05,984,airquality,poor
2023-02-11 23:42:06,050,weather,icy
2023-02-11 23:42:06,050,light,450
2023-02-11 23:42:06,051,temperature,58
2023-02-11 23:42:06,053,airquality,poor
2023-02-11 23:42:06,054,light,800
2023-02-11 23:42:06,985,airquality,good
2023-02-11 23:42:07,051,weather,rainy
2023-02-11 23:42:07,052,light,800
2023-02-11 23:42:07,052,temperature,-23
2023-02-11 23:42:07,055,airquality,smog
2023-02-11 23:42:07,056,light,450
2023-02-11 23:42:07,987,airquality,good
2023-02-11 23:42:08,054,weather,foggy
2023-02-11 23:42:08,054,light,1100
2023-02-11 23:42:08,056,temperature,-34
2023-02-11 23:42:08,057,airquality,poor
2023-02-11 23:42:08,058,light,1100
2023-02-11 23:42:08,988,airquality,good
2023-02-11 23:42:09,055,weather,cloudy
2023-02-11 23:42:09,055,light,450
2023-02-11 23:42:09,056,temperature,44
2023-02-11 23:42:09,058,airquality,poor
2023-02-11 23:42:09,060,light,1100
2023-02-11 23:42:09,989,airquality,smog
2023-02-11 23:42:10,057,weather,cloudy
2023-02-11 23:42:10,057,light,1100
2023-02-11 23:42:10,058,temperature,-15
2023-02-11 23:42:10,060,airquality,good
2023-02-11 23:42:10,061,light,1600
2023-02-11 23:42:10,991,airquality,poor
2023-02-11 23:42:11,059,weather,sunny
2023-02-11 23:42:11,059,light,450
2023-02-11 23:42:11,060,temperature,74
2023-02-11 23:42:11,062,airquality,poor
2023-02-11 23:42:11,063,light,800
2023-02-11 23:42:11,992,airquality,poor
2023-02-11 23:42:12,061,weather,icy
2023-02-11 23:42:12,062,light,1100
2023-02-11 23:42:12,062,temperature,55
2023-02-11 23:42:12,064,airquality,poor
2023-02-11 23:42:12,065,light,1100
2023-02-11 23:42:12,994,airquality,good
2023-02-11 23:42:13,063,weather,sunny
2023-02-11 23:42:13,063,light,450
2023-02-11 23:42:13,063,temperature,33
2023-02-11 23:42:13,066,airquality,smog
2023-02-11 23:42:13,067,light,1600
2023-02-11 23:42:13,994,airquality,smog
2023-02-11 23:42:14,064,weather,foggy
2023-02-11 23:42:14,065,light,1100
2023-02-11 23:42:14,065,temperature,-6
2023-02-11 23:42:14,068,airquality,smog
2023-02-11 23:42:14,069,light,1600
2023-02-11 23:42:14,996,airquality,poor
2023-02-11 23:42:15,066,weather,cloudy
2023-02-11 23:42:15,066,light,450
2023-02-11 23:42:15,067,temperature,26
2023-02-11 23:42:15,069,airquality,poor
2023-02-11 23:42:15,070,light,1600
2023-02-11 23:42:15,997,airquality,smog
2023-02-11 23:42:16,068,weather,icy
2023-02-11 23:42:16,068,light,450
2023-02-11 23:42:16,068,temperature,94
2023-02-11 23:42:16,071,airquality,poor
2023-02-11 23:42:16,072,light,1600
2023-02-11 23:42:16,999,airquality,good
2023-02-11 23:42:17,070,weather,rainy
2023-02-11 23:42:17,071,light,1100
2023-02-11 23:42:17,074,temperature,-53
2023-02-11 23:42:17,075,airquality,good
2023-02-11 23:42:17,076,light,450
2023-02-11 23:42:18,000,airquality,good
2023-02-11 23:42:18,071,weather,rainy
2023-02-11 23:42:18,072,light,1600
2023-02-11 23:42:18,072,temperature,70
2023-02-11 23:42:18,075,airquality,smog
2023-02-11 23:42:18,076,light,1600
2023-02-11 23:42:19,002,airquality,good
2023-02-11 23:42:19,074,weather,icy
2023-02-11 23:42:19,074,light,450
2023-02-11 23:42:19,075,temperature,-39
2023-02-11 23:42:19,077,airquality,poor
2023-02-11 23:42:19,078,light,1600
2023-02-11 23:42:20,002,airquality,good
2023-02-11 23:42:20,075,weather,rainy
2023-02-11 23:42:20,076,light,1100
2023-02-11 23:42:20,076,temperature,-83
2023-02-11 23:42:20,078,airquality,smog
2023-02-11 23:42:20,079,light,1100
2023-02-11 23:42:21,004,airquality,smog
2023-02-11 23:42:21,076,weather,cloudy
2023-02-11 23:42:21,077,light,800
2023-02-11 23:42:21,077,temperature,-41
2023-02-11 23:42:21,080,airquality,good
2023-02-11 23:42:21,081,light,450
2023-02-11 23:42:22,005,airquality,poor
2023-02-11 23:42:22,078,weather,foggy
2023-02-11 23:42:22,079,light,1100
2023-02-11 23:42:22,079,temperature,12
2023-02-11 23:42:22,081,airquality,smog
2023-02-11 23:42:22,082,light,450
2023-02-11 23:42:23,007,airquality,good
2023-02-11 23:42:23,080,weather,sunny
2023-02-11 23:42:23,081,light,1600
2023-02-11 23:42:23,081,temperature,-7
2023-02-11 23:42:23,084,airquality,smog
2023-02-11 23:42:23,085,light,450
2023-02-11 23:42:24,008,airquality,smog
2023-02-11 23:42:24,082,weather,sunny
2023-02-11 23:42:24,082,light,450
2023-02-11 23:42:24,083,temperature,-23
2023-02-11 23:42:24,086,airquality,good
2023-02-11 23:42:24,086,light,450
2023-02-11 23:42:25,009,airquality,poor
2023-02-11 23:42:25,083,weather,foggy
2023-02-11 23:42:25,083,light,800
2023-02-11 23:42:25,084,temperature,-94
2023-02-11 23:42:25,087,airquality,smog
2023-02-11 23:42:25,087,light,450
2023-02-11 23:42:26,010,airquality,good
2023-02-11 23:42:26,088,weather,icy
2023-02-11 23:42:26,088,airquality,good
2023-02-11 23:42:26,089,light,1100
2023-02-11 23:42:26,089,light,1600
2023-02-11 23:42:26,091,temperature,-55
2023-02-11 23:42:27,011,airquality,good
2023-02-11 23:42:27,092,weather,cloudy
2023-02-11 23:42:27,092,airquality,smog
2023-02-11 23:42:27,092,light,1600
2023-02-11 23:42:27,093,light,1100
2023-02-11 23:42:27,095,temperature,-40
2023-02-11 23:42:28,013,airquality,smog
2023-02-11 23:42:28,094,weather,rainy
2023-02-11 23:42:28,094,airquality,poor
2023-02-11 23:42:28,094,light,800
2023-02-11 23:42:28,097,light,1100
2023-02-11 23:42:28,097,temperature,-25
2023-02-11 23:42:29,014,airquality,good
2023-02-11 23:42:29,095,weather,cloudy
2023-02-11 23:42:29,095,light,450
2023-02-11 23:42:29,095,temperature,-7
2023-02-11 23:42:29,097,airquality,smog
2023-02-11 23:42:29,098,light,1100
2023-02-11 23:42:30,015,airquality,poor
2023-02-11 23:42:30,098,weather,rainy
2023-02-11 23:42:30,098,light,1100
2023-02-11 23:42:30,098,temperature,-6
2023-02-11 23:42:30,101,airquality,smog
2023-02-11 23:42:30,102,light,450
2023-02-11 23:42:31,017,airquality,poor
2023-02-11 23:42:31,099,weather,cloudy
2023-02-11 23:42:31,100,light,1600
2023-02-11 23:42:31,100,temperature,-49
2023-02-11 23:42:31,102,airquality,poor
2023-02-11 23:42:31,103,light,1600
2023-02-11 23:42:32,018,airquality,good
2023-02-11 23:42:32,101,weather,rainy
2023-02-11 23:42:32,101,light,450
2023-02-11 23:42:32,102,temperature,-64
2023-02-11 23:42:32,105,airquality,smog
2023-02-11 23:42:32,106,light,800
2023-02-11 23:42:33,018,airquality,good
2023-02-11 23:42:33,103,weather,cloudy
2023-02-11 23:42:33,103,light,1100
2023-02-11 23:42:33,104,temperature,20
2023-02-11 23:42:33,106,airquality,smog
2023-02-11 23:42:33,107,light,1100
2023-02-11 23:42:34,019,airquality,poor
2023-02-11 23:42:34,104,weather,sunny
2023-02-11 23:42:34,105,light,1600
2023-02-11 23:42:34,105,temperature,-78
2023-02-11 23:42:34,108,airquality,smog
2023-02-11 23:42:34,109,light,450
2023-02-11 23:42:35,020,airquality,smog
2023-02-11 23:42:35,106,weather,sunny
2023-02-11 23:42:35,106,light,1600
2023-02-11 23:42:35,107,temperature,-61
2023-02-11 23:42:35,109,airquality,good
2023-02-11 23:42:35,110,light,800
2023-02-11 23:42:36,022,airquality,good
2023-02-11 23:42:36,107,weather,rainy
2023-02-11 23:42:36,108,light,450
2023-02-11 23:42:36,108,temperature,-82
2023-02-11 23:42:36,111,airquality,good
2023-02-11 23:42:36,112,light,1600
2023-02-11 23:42:37,023,airquality,good
2023-02-11 23:42:37,109,weather,foggy
2023-02-11 23:42:37,110,light,1600
2023-02-11 23:42:37,110,temperature,-37
2023-02-11 23:42:37,114,airquality,smog
2023-02-11 23:42:37,115,light,800
2023-02-11 23:42:38,024,airquality,good
2023-02-11 23:42:38,115,airquality,smog
2023-02-11 23:42:38,115,weather,icy
2023-02-11 23:42:38,116,light,1600
2023-02-11 23:42:38,116,light,800
2023-02-11 23:42:38,117,temperature,-71
2023-02-11 23:42:39,026,airquality,smog
2023-02-11 23:42:39,117,airquality,poor
2023-02-11 23:42:39,117,weather,cloudy
2023-02-11 23:42:39,118,light,450
2023-02-11 23:42:39,118,light,1100
2023-02-11 23:42:39,119,temperature,97
2023-02-11 23:42:40,027,airquality,good
2023-02-11 23:42:40,119,airquality,good
2023-02-11 23:42:40,119,weather,icy
2023-02-11 23:42:40,120,light,800
2023-02-11 23:42:40,120,light,800
2023-02-11 23:42:40,121,temperature,89
2023-02-11 23:42:41,028,airquality,smog
2023-02-11 23:42:41,121,airquality,good
2023-02-11 23:42:41,121,weather,icy
2023-02-11 23:42:41,121,light,450
2023-02-11 23:42:41,122,light,800
2023-02-11 23:42:41,123,temperature,-82
2023-02-11 23:42:42,029,airquality,poor
2023-02-11 23:42:42,123,airquality,good
2023-02-11 23:42:42,124,weather,foggy
2023-02-11 23:42:42,124,light,800
2023-02-11 23:42:42,127,light,800
2023-02-11 23:42:42,128,temperature,81
2023-02-11 23:42:43,031,airquality,poor
2023-02-11 23:42:43,125,airquality,poor
2023-02-11 23:42:43,125,weather,foggy
2023-02-11 23:42:43,126,light,800
2023-02-11 23:42:43,126,light,1100
2023-02-11 23:42:43,127,temperature,2
2023-02-11 23:42:44,032,airquality,poor
2023-02-11 23:42:44,125,airquality,good
2023-02-11 23:42:44,126,light,1600
2023-02-11 23:42:44,127,weather,sunny
2023-02-11 23:42:44,128,light,1600
2023-02-11 23:42:44,129,temperature,-22
2023-02-11 23:42:45,033,airquality,smog
2023-02-11 23:42:45,128,airquality,poor
2023-02-11 23:42:45,129,weather,foggy
2023-02-11 23:42:45,129,light,1100
2023-02-11 23:42:45,129,light,450
2023-02-11 23:42:45,130,temperature,-51
2023-02-11 23:42:46,034,airquality,good
2023-02-11 23:42:46,129,airquality,poor
2023-02-11 23:42:46,130,light,1600
2023-02-11 23:42:46,131,weather,rainy
2023-02-11 23:42:46,132,light,800
2023-02-11 23:42:46,133,temperature,-70
2023-02-11 23:42:47,035,airquality,smog
2023-02-11 23:42:47,130,airquality,good
2023-02-11 23:42:47,131,light,1600
2023-02-11 23:42:47,133,weather,rainy
2023-02-11 23:42:47,133,light,800
2023-02-11 23:42:47,134,temperature,-9
2023-02-11 23:42:48,037,airquality,smog
2023-02-11 23:42:48,132,airquality,smog
2023-02-11 23:42:48,132,light,1600
2023-02-11 23:42:48,134,weather,foggy
2023-02-11 23:42:48,134,light,800
2023-02-11 23:42:48,135,temperature,-34
2023-02-11 23:42:49,039,airquality,poor
2023-02-11 23:42:49,134,airquality,good
2023-02-11 23:42:49,134,light,800
2023-02-11 23:42:49,137,weather,sunny
2023-02-11 23:42:49,137,light,1100
2023-02-11 23:42:49,138,temperature,58
2023-02-11 23:42:50,041,airquality,smog
2023-02-11 23:42:50,137,weather,cloudy
2023-02-11 23:42:50,137,light,450
2023-02-11 23:42:50,138,temperature,-21
2023-02-11 23:42:50,141,airquality,poor
2023-02-11 23:42:50,142,light,450
2023-02-11 23:42:51,042,airquality,poor
2023-02-11 23:42:51,138,weather,cloudy
2023-02-11 23:42:51,138,light,1600
2023-02-11 23:42:51,138,temperature,96
2023-02-11 23:42:51,143,airquality,poor
2023-02-11 23:42:51,144,light,1100
2023-02-11 23:42:52,043,airquality,smog
2023-02-11 23:42:52,139,weather,foggy
2023-02-11 23:42:52,140,light,800
2023-02-11 23:42:52,140,temperature,19
2023-02-11 23:42:52,144,airquality,smog
2023-02-11 23:42:52,144,light,1100
2023-02-11 23:42:53,044,airquality,poor
2023-02-11 23:42:53,141,weather,cloudy
2023-02-11 23:42:53,141,light,1100
2023-02-11 23:42:53,141,temperature,48
2023-02-11 23:42:53,146,airquality,smog
2023-02-11 23:42:53,146,light,450
2023-02-11 23:42:54,046,airquality,good
2023-02-11 23:42:54,142,weather,icy
2023-02-11 23:42:54,142,light,1600
2023-02-11 23:42:54,142,temperature,-35
2023-02-11 23:42:54,148,airquality,smog
2023-02-11 23:42:54,149,light,1600
2023-02-11 23:42:55,047,airquality,poor
2023-02-11 23:42:55,143,weather,rainy
2023-02-11 23:42:55,143,light,800
2023-02-11 23:42:55,144,temperature,99
2023-02-11 23:42:55,150,airquality,poor
2023-02-11 23:42:55,150,light,800
2023-02-11 23:42:56,048,airquality,poor
2023-02-11 23:42:56,145,weather,rainy
2023-02-11 23:42:56,145,light,800
2023-02-11 23:42:56,146,temperature,-39
2023-02-11 23:42:56,151,airquality,good
2023-02-11 23:42:56,151,light,800
2023-02-11 23:42:57,050,airquality,poor
2023-02-11 23:42:57,147,weather,cloudy
2023-02-11 23:42:57,147,light,800
2023-02-11 23:42:57,147,temperature,74
2023-02-11 23:42:57,152,airquality,good
2023-02-11 23:42:57,152,light,1600
2023-02-11 23:42:58,051,airquality,good
2023-02-11 23:42:58,148,weather,cloudy
2023-02-11 23:42:58,149,light,1100
2023-02-11 23:42:58,149,temperature,89
2023-02-11 23:42:58,153,airquality,good
2023-02-11 23:42:58,154,light,800
2023-02-11 23:42:59,053,airquality,good
2023-02-11 23:42:59,151,weather,rainy
2023-02-11 23:42:59,151,light,1100
2023-02-11 23:42:59,151,temperature,96
2023-02-11 23:42:59,155,airquality,smog
2023-02-11 23:42:59,156,light,1600
2023-02-11 23:43:00,054,airquality,poor
2023-02-11 23:43:00,152,weather,foggy
2023-02-11 23:43:00,153,light,1600
2023-02-11 23:43:00,153,temperature,-79
2023-02-11 23:43:00,156,airquality,smog
2023-02-11 23:43:00,157,light,450
2023-02-11 23:43:01,056,airquality,good
2023-02-11 23:43:01,154,weather,icy
2023-02-11 23:43:01,154,light,1600
2023-02-11 23:43:01,154,temperature,28
2023-02-11 23:43:01,159,airquality,poor
2023-02-11 23:43:01,163,light,1100
